name,jurisdiction,Display Community,address,lat,lng,Additional description,id,Status notes,
Shumacher Rd ,FCO,Fayette County,Shumacher Rd ,29.844414,-96.708549,at Ellinger Branch,1312,,
Schuster Rd ,FCO,Fayette County,Schuster Rd near FM 2145,30.043056,-96.821907,,1313,,
Teitjen Rd ,FCO,Fayette County,Teitjen Rd - 1/2 mi N of Halstedt Rd,29.920481,-96.781181,,1314,,
Tobias Rd ,FCO,Fayette County,Tobias Rd - 1/2 mi SE of FM 2503,29.837164,-96.694,,1315,,
Waldeck Cemetery Rd ,FCO,Fayette County,Waldeck Cemetery Rd SE of Albers Rd,30.055632,-96.773354,,1316,,
Schoenst Rd ,FCO,Fayette County,Schoenst Rd - 1/2 mi SW of Round Top Rd,30.099192,-96.741203,,1317,,
Haw Creek Rd ,FCO,Fayette County,Haw Creek Rd at Cummins Creek,29.977539,-96.661728,,1318,,
W Old Lockhart Rd ,FCO,Fayette County,W Old Lockhart Rd west of N Old Smithville Rd,29.891462,-97.158577,,1319,,
Laird Rd ,FCO,Fayette County,Laird Rd NE of Rauch Rd,30.015747,-96.814827,,1320,,
Falke Heinrich Rd ,FCO,Fayette County,Falke Heinrich Rd N of FM 956,29.771662,-96.929237,,1321,,
Demel Rd ,FCO,Fayette County,Demel Rd between FM 615 & Holub Rd,29.711819,-96.88047,,1322,,
Vivial Rd ,FCO,Fayette County,Vivial Rd between Hermis Rd & FM 957,29.644331,-96.947975,,1323,,
Camelback Rd ,FCO,Fayette County,Camelback Rd near Prairie St,30.016361,-97.019402,,1324,,
Davis Rd ,FCO,Fayette County,Davis Rd at FM 154,29.850992,-97.043564,,1325,,
Fritsch Rd ,FCO,Fayette County,Fritsch Rd SE of Ruether Rd,29.93889,-96.786438,,1326,,
Bittner Rd ,FCO,Fayette County,Boehnke Rd,29.777975,-97.052383,,1327,,
Boulton Creek ,FCO,Fayette County,Boulton Creek near FM 154,29.833757,-97.043266,,1328,,
Branecky Rd ,FCO,Fayette County,Branecky Rd - 1/2 mi S of US 90,29.683523,-97.151627,,1329,,
Brown Rd ,FCO,Fayette County,Brown Rd - 1 1/4 mi W of SH 95,29.76082,-97.195679,,1330,,
Cowan Rd ,FCO,Fayette County,Cowan Rd near FM 2762,29.735744,-97.174759,,1331,,
Farek Loth Rd ,FCO,Fayette County,Farek Loth Rd near Ragsdale Rd,29.715862,-97.056183,,1332,,
Klekar Gin Rd ,FCO,Fayette County,Klekar Gin Rd near S Knezek Rd,29.668795,-97.051956,,1333,,
Klekar Gin Rd ,FCO,Fayette County,Klekar Gin Rd near Cook Ln,29.667583,-97.041016,,1334,,
Mach Rd ,FCO,Fayette County,Mach Rd near FM 609,29.813374,-96.988739,,1335,,
W Old Lockhart Rd ,FCO,Fayette County,W Old Lockhart Rd - 1 mi W of Boehnke Rd,29.88727,-97.103561,,1337,,
Country Club Drive ,FCO,Fayette County,Country Club,29.897743,-96.891785,,1340,,
River Drive ,FCO,Fayette County,River Drive at Country Club,29.89612,-96.890381,,1341,,
"Eilers St, Schulenburg",FCO,Fayette County,Eilers at West,29.68446,-96.910873,,1344,,
CH Allen Rd ,FCO,Fayette County,CH Allen SW 1291,29.951544,-96.698143,,1350,,
Goehring Rd ,FCO,Fayette County,Goehring Rd @ Cummins Creek,30.134729,-96.799767,,1353,,
Kainer Rd ,FCO,Fayette County,Kainer Rd near Baumgarten Rd,29.654898,-96.972443,,1354,,
Baca Loop Fayette County,FCO,Fayette County,"Baca Loop at Hwy 90, Flatonia",29.680094,-97.066162,,1383,,
Huelsebusch Rd ,FCO,Fayette County,Huelsebusch Rd SW of Old Plum Hwy,29.922003,-96.932274,,1768,,
Goehring Rd ,FCO,Fayette County,Goehring Rd N of Wendler Rd,30.113573,-96.82444,,1769,,
Rek Hill Rd,FCO,Fayette County,Rek Hill @ SH 159,29.934271,-96.639008,,1826,,
Hwy 159 @ Darden Loop,FCO,Fayette County,159 @ Darden Loop,29.963202,-96.609566,,1827,,
FM 1291 @ Haw Creek,FCO,Fayette County,1291 @ Haw Creek,29.960443,-96.688789,,1829,,
FM 1291 @ Halamicek Loop,FCO,Fayette County,FM 1291 @ Halamicek Loop,29.97591,-96.698441,,1830,,
Mullins Prairie Loop Southbound,FCO,Fayette County,Mullins Prarie Loop Southbound,29.860403,-96.792381,,1831,,
Mullins Prairie Loop @ Loehr Rd,FCO,Fayette County,Mullins Prairie Loop @ Loehr Rd,29.86422,-96.813881,,1832,,
Kitchen Lane ,FCO,Fayette County,Kitchen Lane @ Hwy 71,29.862785,-96.741486,,1841,,
Zapalac Rd ,FCO,Fayette County,Zapalac Rd @ Hwy 71,29.871178,-96.749596,,1842,,
Copperhead Rd,FCO,Fayette County,Copperhead @ Lee Co Line,30.040434,-97.024216,,1866,,
Plum Church Rd,FCO,Fayette County,Plum Church @ Plum Wonderful,29.925411,-96.975609,,1867,,
Adamcik Rd,FCO,Fayette County,Adamcik off 1383,29.749142,-96.834785,,1868,,
Middle Creek Rd,FCO,Fayette County,Middle Creek Rd N Schulenburg,29.759178,-96.885162,,1870,,
Hermis Rd,FCO,Fayette County,Hermis over Mulberry Creek,29.652189,-96.938766,,1871,,
Hertel Road,FCO,Fayette County,Hertel Road @ Foster,29.705248,-96.922974,,1896,,
Dixieland RV Park ,FCO,Fayette County,Dixieland RV Park at Spur 458,30.14493,-96.683205,,1929,,
Carmine Cemetery Rd,FCO,Fayette County,Carmine Cemetery Road at Hauptstrass,30.146284,-96.685997,,1930,,
Tienert Rd,FCO,Fayette County,Tienert Rd @ Rabbs Creek,30.069202,-96.893364,,1974,,
Race Track Road,FCO,Fayette County,Race Track Rd @ Cedar Creek,30.009747,-96.881798,,1975,,
Anchor Ranch Loop,FCO,Fayette County,Anchor Ranch Loop North,29.822645,-97.182938,,1976,,
Anchor Ranch Loop,FCO,Fayette County,Anchor Ranch Loop South,29.765533,-97.169052,,1977,,
Wallace Road,FCO,Fayette County,Wallace Rd,29.833212,-97.105148,,1978,,
Boehnke Rd,FCO,Fayette County,Boehnke Rd,29.86062,-97.082748,,1979,,
Pin Oak Branch Rd,FCO,Fayette County,Pin Oak Branch Rd @ Pin Oak Branch Creek,30.069672,-96.922478,,2012,,
Clear Creek at Roznov Rd,FCO,Fayette County,Clear Creek at Roznov Rd,29.967999,-96.741402,,2103,,
Krischke Rd ,FCO,Fayette County,Krischke Rd North of Gansky Rd,29.728769,-96.952065,,2111,,
Krischke Rd ,FCO,Fayette County,Krischke Rd South of Gansky Rd,29.723021,-96.95134,,2112,,
Main St @ Mesquite St ,FCO,Fayette County,E North Main St @ S Mesquite St,29.687887,-97.100632,,2129,,
Alex Ln ,FCO,Fayette County,Alex Ln near Texas 71 Frontage Rd,29.91831,-96.888374,,2165,,
FM 1291 @ Ledbetter ,FCO,Fayette County,FM 1291 @ Ledbetter,30.14612,-96.792427,,2176,,
FM 1291 @ Greens Creek Rd ,FCO,Fayette County,FM 1291 @ Greens Creek Rd,30.078794,-96.799583,,2177,,
SH 71 @ St James Church Rd ,FCO,Fayette County,SH 71 @ St James Church Rd,29.936951,-96.990501,,2181,,
W Old Lockhart Rd @ Makinson Rd ,FCO,Fayette County,W Old Lockhart Rd @ Makinson Rd,29.901875,-97.054359,,2183,,
Piney Creek @ Piney Creek Rd ,FCO,Fayette County,Piney Creek @ Piney Creek Rd,30.021112,-96.94619,,2218,,
Weyand Rd @ Cummins Creek ,FCO,Fayette County,Weyand Rd @ Cummins Creek,30.068624,-96.719383,,2219,,
Bordovsky Rd ,FCO,Fayette County,Bordovsky Rd,29.902544,-96.937241,,2221,,
FM 609 @ Buckner,FCO,Fayette County,FM 609 @ Buckner,29.866117,-96.932999,,2229,,
Holub Rd @ Company Field Rd ,FCO,Fayette County,Holub Rd @ Company Field Rd,29.703508,-96.861534,,2230,,
FM 2237 @ Roy Rd ,FCO,Fayette County,FM 2237 @ Roy Rd,29.835588,-97.154053,,2238,,
Freyburg Hall Rd near Bryant RD ,FCO,Fayette County,Freyburg Hall Rd near Bryant RD,29.729185,-96.974266,,2240,,
Freyburg Hall Rd near FM 2238 ,FCO,Fayette County,Freyburg Hall Rd near FM 2238,29.734987,-96.992538,,2241,,
3 Mile Rd off Mockingbird Rd ,FCO,Fayette County,3 Mile Rd off Mockingbird Rd,29.774277,-97.217308,,2242,,
Skillett Rd off Valenta RD ,FCO,Fayette County,Skillett Rd off Valenta RD,29.856251,-96.953438,,2244,,
FM 957 ,FCO,Fayette County,FM 957,29.665253,-96.922455,,2249,,
Herzik Rd off Hwy 77 ,FCO,Fayette County,Herzik Rd off Hwy 77,29.741043,-96.90448,,2256,,
FM 957 near FM 223 ,FCO,Fayette County,FM 957 near FM 223,29.633596,-96.931511,,2262,,
FM 2237 @ Pin Oak Creek ,FCO,Fayette County,FM 2237 @ Pin Oak Creek,29.805616,-97.064743,,2267,,
FM 2237 @ Live Oak Creek ,FCO,Fayette County,FM 2237 @ Live Oak Creek,29.823456,-97.083458,,2272,,
S Knezek Rd @ Mulberry Creek ,FCO,Fayette County,S Knezek Rd @ Mulberry Creek,29.668293,-97.061493,,2280,,
FM 153 @ Bastrop County Line ,FCO,Fayette County,FM 153 @ Bastrop County Line,30.015839,-97.061546,,2283,,
FM 153 @ Pilchick Loop ,FCO,Fayette County,FM 153 @ Pilchick Loop,30.010414,-97.037811,,2284,,
Noak Rd @ Jacks Creek ,FCO,Fayette County,Noak Rd @ Jacks Creek ,30.037806,-96.666672,,2308,,
Krenek Rd @ Pettys Creek ,FCO,Fayette County,Krenek Rd @ Pettys Creek,29.844137,-96.725288,,2309,Extensive flood damage 8/26/2017,Update to long-term closure status
FM 2503 ,FCO,Fayette County,FM 2503,29.880667,-96.655914,,2311,,
W Travis St (Business 71) @ Colorado River ,FCO,Fayette County,W Travis St (Business 71) @ Colorado River,29.901161,-96.886971,,2314,,
